class,family,genus,n_species,n_antimalarial,mean,std_err,eff
Magnoliopsida,Fabaceae,Microlobius,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Gentianaceae,Enicostema,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Gentianaceae,Xestaea,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Humiriaceae,Endopleura,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Icacinaceae,Leretia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Lamiaceae,Mentha,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Lecythidaceae,Bertholletia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Malvaceae,Ochroma,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Meliaceae,Cabralea,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Ochnaceae,Cespedesia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Olacaceae,Minquartia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Petiveriaceae,Gallesia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Petiveriaceae,Petiveria,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Proteaceae,Oreocallis,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Rhamnaceae,Discaria,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Rhamnaceae,Krugiodendron,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Rubiaceae,Adolphoduckea,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Rubiaceae,Capirona,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Rubiaceae,Dioicodendron,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Simaroubaceae,Quassia,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Magnoliopsida,Menispermaceae,Curarea,9,3,0.00797376853714882,0.029646411723033936,10.974669306889329
Magnoliopsida,Rubiaceae,Calycophyllum,11,3,0.00797376853714882,0.026816188381553807,9.872898430719605
Magnoliopsida,Asteraceae,Acanthospermum,5,2,0.00797376853714882,0.039774835140990325,9.856137180034342
Magnoliopsida,Gentianaceae,Coutoubea,5,2,0.00797376853714882,0.039774835140990325,9.856137180034342
Magnoliopsida,Hernandiaceae,Sparattanthelium,12,3,0.00797376853714882,0.02567454568320018,9.426699675594183
Magnoliopsida,Menispermaceae,Abuta,33,5,0.00797376853714882,0.015482333580729805,9.271301527610959
Magnoliopsida,Fabaceae,Campsiandra,22,4,0.00797376853714882,0.018961908650172606,9.168086213697192
Magnoliopsida,Moraceae,Brosimum,15,3,0.00797376853714882,0.022964011775623752,8.362050731339835
Magnoliopsida,Asteraceae,Egletes,7,2,0.00797376853714882,0.03361587115053329,8.262184131221918
Magnoliopsida,Linaceae,Roucheria,7,2,0.00797376853714882,0.03361587115053329,8.262184131221918
Liliopsida,Alismataceae,Limnocharis,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Liliopsida,Araceae,Montrichardia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Liliopsida,Arecaceae,Mauritia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Liliopsida,Bromeliaceae,Ananas,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Acanthaceae,Trichanthera,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Asteraceae,Amboroa,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Asteraceae,Pseudelephantopus,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Asteraceae,Schkuhria,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Asteraceae,Unxia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Asteraceae,Xanthium,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Calophyllaceae,Mammea,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Euphorbiaceae,Glycydendron,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Fabaceae,Bowdichia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Fabaceae,Myroxylon,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Goupiaceae,Goupia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Moraceae,Maclura,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Ochnaceae,Touroulia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Rhizophoraceae,Rhizophora,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Rutaceae,Ertela,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Solanaceae,Hawkesiophyton,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Solanaceae,Vassobia,2,1,0.00797376853714882,0.06288953630161696,7.823658121807468
Magnoliopsida,Simaroubaceae,Picrasma,8,2,0.00797376853714882,0.03144476815080848,7.696868054555155
Magnoliopsida,Polygonaceae,Triplaris,19,3,0.00797376853714882,0.020404059906205967,7.347604790130882
Liliopsida,Arecaceae,Oenocarpus,9,2,0.00797376853714882,0.029646411723033936,7.226792088251676
Magnoliopsida,Gentianaceae,Potalia,9,2,0.00797376853714882,0.029646411723033936,7.226792088251676
Magnoliopsida,Bignoniaceae,Handroanthus,34,4,0.00797376853714882,0.015252952995157823,7.190298843849928
Magnoliopsida,Malvaceae,Theobroma,20,3,0.00797376853714882,0.019887417570495163,7.141512011773732
Magnoliopsida,Siparunaceae,Siparuna,53,5,0.00797376853714882,0.0122167434999929,7.069466106447337
Magnoliopsida,Euphorbiaceae,Hevea,10,2,0.00797376853714882,0.028125055648771248,6.827585831683167
Liliopsida,Arecaceae,Astrocaryum,38,4,0.00797376853714882,0.01442784912341479,6.743166533374555
Magnoliopsida,Myristicaceae,Virola,58,5,0.00797376853714882,0.011678293711326742,6.699020417571554
Liliopsida,Zingiberaceae,Renealmia,59,5,0.00797376853714882,0.011578902170132754,6.630334469250929
Magnoliopsida,Asteraceae,Chuquiraga,11,2,0.00797376853714882,0.026816188381553807,6.482815932208184
Magnoliopsida,Menispermaceae,Cissampelos,11,2,0.00797376853714882,0.026816188381553807,6.482815932208184
Magnoliopsida,Lamiaceae,Mesosphaerum,24,3,0.00797376853714882,0.018154645356474645,6.446076426445594
Liliopsida,Commelinaceae,Geogenanthus,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Liliopsida,Iridaceae,Eleutherine,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Amaranthaceae,Chamissoa,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Asteraceae,Centratherum,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Asteraceae,Eirmocephala,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Caricaceae,Carica,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Euphorbiaceae,Sagotia,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Fabaceae,Acosmium,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Fabaceae,Amburana,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Fabaceae,Monopteryx,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Fabaceae,Pterodon,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Fabaceae,Vouacapoua,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Lauraceae,Chlorocardium,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Lecythidaceae,Couroupita,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Menispermaceae,Chondrodendron,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Metteniusaceae,Poraqueiba,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Rhamnaceae,Ampelozizyphus,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Rhamnaceae,Sageretia,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Rubiaceae,Genipa,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Simaroubaceae,Picrolemma,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Urticaceae,Laportea,3,1,0.00797376853714882,0.05134909136640036,6.336228278599677
Magnoliopsida,Asteraceae,Tithonia,12,2,0.00797376853714882,0.02567454568320018,6.180942793989011
Magnoliopsida,Fabaceae,Leptolobium,12,2,0.00797376853714882,0.02567454568320018,6.180942793989011
Magnoliopsida,Lecythidaceae,Grias,12,2,0.00797376853714882,0.02567454568320018,6.180942793989011
Magnoliopsida,Aristolochiaceae,Aristolochia,269,11,0.00797376853714882,0.005422720874434278,6.070462694585135
Magnoliopsida,Fabaceae,Schnella,46,4,0.00797376853714882,0.013113374812252793,6.023068381160142
Magnoliopsida,Gentianaceae,Tachia,13,2,0.00797376853714882,0.024667305600211284,5.9135921722944715
Magnoliopsida,Simaroubaceae,Homalolepis,28,3,0.00797376853714882,0.016807935575266646,5.900134978601325
Liliopsida,Poaceae,Lasiacis,15,2,0.00797376853714882,0.022964011775623752,5.458957521057075
Magnoliopsida,Rubiaceae,Alibertia,15,2,0.00797376853714882,0.022964011775623752,5.458957521057075
Magnoliopsida,Rubiaceae,Chimarrhis,15,2,0.00797376853714882,0.022964011775623752,5.458957521057075
Magnoliopsida,Rubiaceae,Isertia,15,2,0.00797376853714882,0.022964011775623752,5.458957521057075
Liliopsida,Arecaceae,Phytelephas,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Liliopsida,Cyclanthaceae,Carludovica,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Asteraceae,Eclipta,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Cucurbitaceae,Luffa,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Fabaceae,Bocoa,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Fabaceae,Hydrochorea,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Humiriaceae,Humiria,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Malvaceae,Briquetia,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Malvaceae,Guazuma,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Moraceae,Clarisia,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Moraceae,Maquira,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Picrodendraceae,Piranhea,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Rubiaceae,Condaminea,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Rubiaceae,Cosmibuena,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Rubiaceae,Coutarea,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Rubiaceae,Hintonia,4,1,0.00797376853714882,0.044469617584550904,5.442507595274059
Magnoliopsida,Loganiaceae,Strychnos,82,5,0.00797376853714882,0.009821695467653574,5.39640445924058
Magnoliopsida,Rubiaceae,Hamelia,16,2,0.00797376853714882,0.022234808792275452,5.263199362591641
Magnoliopsida,Dilleniaceae,Doliocarpus,58,4,0.00797376853714882,0.011678293711326742,5.222659252444968
Magnoliopsida,Asteraceae,Ayapana,17,2,0.00797376853714882,0.021570932991991514,5.084309071244077
Magnoliopsida,Bignoniaceae,Pleonotoma,17,2,0.00797376853714882,0.021570932991991514,5.084309071244077
Magnoliopsida,Fabaceae,Ormosia,62,4,0.00797376853714882,0.01129529416177574,5.0058333749689785
Magnoliopsida,Fabaceae,Copaifera,37,3,0.00797376853714882,0.014621520193513354,4.999980274032338
Magnoliopsida,Urticaceae,Cecropia,63,4,0.00797376853714882,0.011205290383511098,4.954650263826399
Magnoliopsida,Bignoniaceae,Mansoa,18,2,0.00797376853714882,0.020963178767205652,4.919928590949581
Magnoliopsida,Acanthaceae,Dianthera,39,3,0.00797376853714882,0.014241675528464748,4.841376160278301
Liliopsida,Arecaceae,Socratea,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Asteraceae,Isocarpha,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Asteraceae,Tessaria,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Bixaceae,Bixa,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Capparaceae,Crateva,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Connaraceae,Pseudoconnarus,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Fabaceae,Gliricidia,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Gentianaceae,Chelonanthus,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Lamiaceae,Ocimum,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Melastomataceae,Arthrostemma,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Rutaceae,Sohnreyia,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Rutaceae,Spiranthera,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Sapotaceae,Elaeoluma,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Simaroubaceae,Simaba,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Verbenaceae,Phyla,5,1,0.00797376853714882,0.039774835140990325,4.827832240716361
Magnoliopsida,Apocynaceae,Tabernaemontana,66,4,0.00797376853714882,0.010947663063526247,4.807628053905315
Magnoliopsida,Meliaceae,Cedrela,19,2,0.00797376853714882,0.020404059906205967,4.7681387824193315
Liliopsida,Araceae,Thaumatophyllum,20,2,0.00797376853714882,0.019887417570495163,4.627359542114743
Magnoliopsida,Rosaceae,Prunus,70,4,0.00797376853714882,0.010630271836643014,4.625383937616752
Magnoliopsida,Asteraceae,Tagetes,43,3,0.00797376853714882,0.013563106209763337,4.556011902261329
Magnoliopsida,Nyctaginaceae,Boerhavia,21,2,0.00797376853714882,0.019408132257804172,4.496276382589917
Magnoliopsida,Bignoniaceae,Tabebuia,74,4,0.00797376853714882,0.010338976080089332,4.456948653324197
Magnoliopsida,Fabaceae,Senna,192,7,0.00797376853714882,0.006418636420800045,4.4377906659237265
Magnoliopsida,Urticaceae,Urera,22,2,0.00797376853714882,0.018961908650172606,4.373785566738671
Magnoliopsida,Achariaceae,Lindackeria,6,1,0.00797376853714882,0.03630929071294929,4.370586563755756
Magnoliopsida,Apocynaceae,Cascabela,6,1,0.00797376853714882,0.03630929071294929,4.370586563755756
Magnoliopsida,Asteraceae,Sigesbeckia,6,1,0.00797376853714882,0.03630929071294929,4.370586563755756
Magnoliopsida,Bignoniaceae,Crescentia,6,1,0.00797376853714882,0.03630929071294929,4.370586563755756
Magnoliopsida,Fabaceae,Clathrotropis,6,1,0.00797376853714882,0.03630929071294929,4.370586563755756
Magnoliopsida,Simaroubaceae,Simarouba,6,1,0.00797376853714882,0.03630929071294929,4.370586563755756
Magnoliopsida,Solanaceae,Solanum,788,17,0.00797376853714882,0.0031683290669897238,4.29243151081093
Magnoliopsida,Annonaceae,Unonopsis,48,3,0.00797376853714882,0.01283727284160009,4.247493383965096
Magnoliopsida,Hypericaceae,Vismia,48,3,0.00797376853714882,0.01283727284160009,4.247493383965096
Liliopsida,Poaceae,Echinochloa,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Amaranthaceae,Dysphania,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Apocynaceae,Parahancornia,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Fabaceae,Libidibia,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Fabaceae,Parkinsonia,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Icacinaceae,Pleurisanthes,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Lamiaceae,Teucrium,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Malvaceae,Corchorus,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Menispermaceae,Telitoxicum,7,1,0.00797376853714882,0.03361587115053329,4.012490817684914
Magnoliopsida,Malvaceae,Pseudobombax,26,2,0.00797376853714882,0.0174424190635103,3.9529670818522358
Liliopsida,Costaceae,Costus,56,3,0.00797376853714882,0.01188500522301766,3.8365704666221663
Magnoliopsida,Euphorbiaceae,Alchornea,28,2,0.00797376853714882,0.016807935575266646,3.775288321832822
Magnoliopsida,Bignoniaceae,Xylophragma,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Cardiopteridaceae,Citronella,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Convolvulaceae,Operculina,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Cucurbitaceae,Fevillea,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Fabaceae,Otholobium,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Fabaceae,Vatairea,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Gentianaceae,Helia,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Lamiaceae,Cornutia,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Ochnaceae,Lacunaria,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Rubiaceae,Macrocnemum,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Scrophulariaceae,Alonsoa,8,1,0.00797376853714882,0.03144476815080848,3.7216439600252644
Magnoliopsida,Fabaceae,Zygia,60,3,0.00797376853714882,0.011482005887811876,3.6601820164072496
Magnoliopsida,Berberidaceae,Berberis,149,5,0.00797376853714882,0.007286186043707786,3.5112030202426956
Magnoliopsida,Celastraceae,Maytenus,150,5,0.00797376853714882,0.007261858142589859,3.4921592102514296
Magnoliopsida,Anacardiaceae,Tapirira,9,1,0.00797376853714882,0.029646411723033936,3.4789148696140244
Magnoliopsida,Bignoniaceae,Dolichandra,9,1,0.00797376853714882,0.029646411723033936,3.4789148696140244
Magnoliopsida,Rubiaceae,Morinda,9,1,0.00797376853714882,0.029646411723033936,3.4789148696140244
Magnoliopsida,Rubiaceae,Schizocalyx,9,1,0.00797376853714882,0.029646411723033936,3.4789148696140244
Magnoliopsida,Malpighiaceae,Byrsonima,158,5,0.00797376853714882,0.00707562563877972,3.34554176430211
Magnoliopsida,Amaranthaceae,Iresine,34,2,0.00797376853714882,0.015252952995157823,3.333765002144737
Magnoliopsida,Rutaceae,Esenbeckia,34,2,0.00797376853714882,0.015252952995157823,3.333765002144737
Magnoliopsida,Meliaceae,Guarea,70,3,0.00797376853714882,0.010630271836643014,3.281512914820251
Magnoliopsida,Asteraceae,Helianthus,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Fabaceae,Alexa,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Opiliaceae,Agonandra,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Plantaginaceae,Scoparia,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Rubiaceae,Bathysa,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Rutaceae,Angostura,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Rutaceae,Hortia,10,1,0.00797376853714882,0.028125055648771248,3.272037311217612
Magnoliopsida,Asteraceae,Cosmos,35,2,0.00797376853714882,0.0150334746030933,3.27064034788014
Magnoliopsida,Verbenaceae,Stachytarpheta,116,4,0.00797376853714882,0.008257800675967352,3.2101755810950796
Magnoliopsida,Asteraceae,Mikania,418,9,0.00797376853714882,0.004350160188565901,3.1165132670182127
Magnoliopsida,Apocynaceae,Rauvolfia,38,2,0.00797376853714882,0.01442784912341479,3.0952507215884975
Magnoliopsida,Asteraceae,Ambrosia,38,2,0.00797376853714882,0.01442784912341479,3.0952507215884975
Liliopsida,Poaceae,Hymenachne,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Anacardiaceae,Spondias,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Apocynaceae,Vallesia,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Fabaceae,Chloroleucon,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Lacistemataceae,Lacistema,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Phytolaccaceae,Phytolacca,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Rubiaceae,Exostema,11,1,0.00797376853714882,0.026816188381553807,3.092733433696761
Magnoliopsida,Asteraceae,Ageratum,39,2,0.00797376853714882,0.014241675528464748,3.0409541811525242
Liliopsida,Arecaceae,Bactris,79,3,0.00797376853714882,0.010006445740637075,2.998158965207653
Magnoliopsida,Solanaceae,Capsicum,40,2,0.00797376853714882,0.014062527824385624,2.9885261019696694
Magnoliopsida,Myrtaceae,Campomanesia,41,2,0.00797376853714882,0.013889974935854043,2.9378540606574663
Liliopsida,Arecaceae,Ceroxylon,12,1,0.00797376853714882,0.02567454568320018,2.93518591238384
Magnoliopsida,Fabaceae,Guilandina,12,1,0.00797376853714882,0.02567454568320018,2.93518591238384
Magnoliopsida,Sapotaceae,Ecclinusa,12,1,0.00797376853714882,0.02567454568320018,2.93518591238384
Magnoliopsida,Meliaceae,Trichilia,83,3,0.00797376853714882,0.009762349332385503,2.885658852900365
Magnoliopsida,Euphorbiaceae,Jatropha,86,3,0.00797376853714882,0.009590564374877028,2.8058778755060265
Magnoliopsida,Picramniaceae,Picramnia,44,2,0.00797376853714882,0.013408094190776904,2.7953843688820994
Magnoliopsida,Asteraceae,Adenostemma,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Asteraceae,Elephantopus,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Asteraceae,Heliopsis,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Asteraceae,Neurolaena,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Asteraceae,Parthenium,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Fabaceae,Dipteryx,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Meliaceae,Carapa,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Verbenaceae,Bouchea,13,1,0.00797376853714882,0.024667305600211284,2.795169829384914
Magnoliopsida,Rutaceae,Zanthoxylum,87,3,0.00797376853714882,0.009535286886368049,2.7800936038368116
Magnoliopsida,Fabaceae,Swartzia,195,5,0.00797376853714882,0.006369070919028484,2.7739143320093107
Magnoliopsida,Verbenaceae,Lantana,91,3,0.00797376853714882,0.009323365161741417,2.6807128109112814
Magnoliopsida,Asteraceae,Austroeupatorium,14,1,0.00797376853714882,0.02377001044603532,2.6695319733023695
Magnoliopsida,Celastraceae,Cheiloclinium,14,1,0.00797376853714882,0.02377001044603532,2.6695319733023695
Magnoliopsida,Fabaceae,Pterocarpus,14,1,0.00797376853714882,0.02377001044603532,2.6695319733023695
Magnoliopsida,Phyllanthaceae,Amanoa,14,1,0.00797376853714882,0.02377001044603532,2.6695319733023695
